127.0.0.1 - - [23/Nov/2016:09:14:17 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:42 -0300] "GET /jenkins HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:42 -0300] "GET /jenkins/ HTTP/1.1" 403 713
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:43 -0300] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/color.css HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/responsive-grid.css HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/style.css HTTP/1.1" 200 9023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/behavior.js HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/jsbundles/pluginSetupWizard.css HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/prototype.js HTTP/1.1" 200 37879
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/adjuncts/b99f9c72/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/container/container-min.js HTTP/1.1" 200 19888
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/connection/connection-min.js HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/datasource/datasource-min.js HTTP/1.1" 200 8248
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 200 7254
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/scripts/yui/element/element-min.js HTTP/1.1" 200 2698
